user_id,language,topic
113538563,português,coisas
359999978,한국어,Drinks
113538563,português,pessoas
359999978,한국어,Numbers
179867572,French,list words
359999978,Testes,Prudente's gang
359999978,Testes,wololo
42,Portuges,Miscelania
